simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
particle-lenia,180,300,"{""mu_k"": 4.687065642687186, ""sigma_k"": 1.112075347176013, ""w_k"": 0.033339467650233746, ""c_rep"": 1.154729591024267, ""mu_g"": 0.7605823564758543, ""sigma_g"": 0.17488645305921363, ""dt"": 0.10255662113670005, ""point_n"": 100}",-0.060881864,0.145665,124.67604168230328,nan,4.829811096191406
particle-lenia,181,300,"{""mu_k"": 4.090058313891841, ""sigma_k"": 0.6085029500462045, ""w_k"": 0.016472132461185264, ""c_rep"": 1.1984849814911358, ""mu_g"": 0.628797805137167, ""sigma_g"": 0.247882335904758, ""dt"": 0.1380835674299294, ""point_n"": 64}",0.5684764,0.1344545,148.60685200633202,nan,1.9328713417053223
particle-lenia,182,300,"{""mu_k"": 3.56102704676856, ""sigma_k"": 1.0691187700427516, ""w_k"": 0.038589444281848885, ""c_rep"": 1.3939072241871613, ""mu_g"": 0.4546747710745138, ""sigma_g"": 0.20549091849216483, ""dt"": 0.07427531950195576, ""point_n"": 100}",-0.014479372,0.1157964,317.2731008326059,nan,4.846692323684692
particle-lenia,183,300,"{""mu_k"": 4.000576041708354, ""sigma_k"": 1.3724100807944812, ""w_k"": 0.029635982142107165, ""c_rep"": 1.0002526226725101, ""mu_g"": 0.5787361151817246, ""sigma_g"": 0.24493514062906696, ""dt"": 0.13652417918477294, ""point_n"": 200}",0.17371702,0.10793587,507.46340017207325,nan,19.472563982009888
particle-lenia,184,300,"{""mu_k"": 3.543351799344586, ""sigma_k"": 0.7700414412164591, ""w_k"": 0.01997545715830705, ""c_rep"": 1.297631630199939, ""mu_g"": 0.46747788792543093, ""sigma_g"": 0.1285601654378506, ""dt"": 0.07612310351529511, ""point_n"": 150}",0.04013905,0.13126692,132.03758758550882,nan,11.093113899230957
particle-lenia,185,300,"{""mu_k"": 3.7104080741534697, ""sigma_k"": 1.2735241630792244, ""w_k"": 0.029530207178329514, ""c_rep"": 0.9035760161914945, ""mu_g"": 0.6896109732978225, ""sigma_g"": 0.14214949086250947, ""dt"": 0.07388841339154381, ""point_n"": 64}",-0.024074538,0.15972029,61.74027098062188,nan,1.9839468002319336
particle-lenia,186,300,"{""mu_k"": 4.610480346556583, ""sigma_k"": 0.677776297073699, ""w_k"": 0.02763675541649159, ""c_rep"": 1.338448393145259, ""mu_g"": 0.7649861918901157, ""sigma_g"": 0.22998969819138773, ""dt"": 0.14371839694180916, ""point_n"": 64}",0.6355716,0.14205045,142.91313201708985,nan,2.0135273933410645
particle-lenia,187,300,"{""mu_k"": 3.9458262848283803, ""sigma_k"": 1.032244678499801, ""w_k"": 0.030867867491597915, ""c_rep"": 1.434136924857922, ""mu_g"": 0.5210077248935407, ""sigma_g"": 0.18347271106626933, ""dt"": 0.11494393379152844, ""point_n"": 200}",0.34043428,0.104413226,439.6109811986982,nan,19.56466293334961
particle-lenia,188,300,"{""mu_k"": 3.3579101378711336, ""sigma_k"": 0.910617231224802, ""w_k"": 0.03003399254506834, ""c_rep"": 1.0025237673146128, ""mu_g"": 0.5793924391414857, ""sigma_g"": 0.24328694068009166, ""dt"": 0.14825361958761013, ""point_n"": 64}",-0.18778372,0.17987604,30.185590098811943,nan,1.9912281036376953
particle-lenia,189,300,"{""mu_k"": 3.5710340784046366, ""sigma_k"": 0.9530407915702073, ""w_k"": 0.01616423471263722, ""c_rep"": 1.4748695139817576, ""mu_g"": 0.5565118430228108, ""sigma_g"": 0.2474280414096329, ""dt"": 0.0603107706762711, ""point_n"": 150}",0.107347146,0.14788802,94.88344084469608,nan,11.037059307098389
particle-lenia,190,300,"{""mu_k"": 4.356328762401475, ""sigma_k"": 1.0190291500177995, ""w_k"": 0.015498872085500479, ""c_rep"": 1.338596078977325, ""mu_g"": 0.7040935417017363, ""sigma_g"": 0.1947749246074949, ""dt"": 0.10579892530027352, ""point_n"": 64}",0.66507167,0.14612871,141.97909121003948,nan,1.9747130870819092
