rank,base_seed,steps,n_seeds,mean_energy,std_energy,mean_stability,std_stability,mean_diversity,std_diversity,config
1,156,1500,5,-0.2449546664953232,0.018479969594402092,0.09152222722768784,0.002093260322220894,946.6914494820718,70.0804181143055,"{""mu_k"": 4.039716800541697, ""sigma_k"": 0.626705506863671, ""w_k"": 0.03211643732508119, ""c_rep"": 1.151685367194939, ""mu_g"": 0.4009294728555986, ""sigma_g"": 0.21164152229810906, ""dt"": 0.07297812395228323, ""point_n"": 200}"
2,183,1500,5,0.04953361079096794,0.008557628573159193,0.10247501134872436,0.002600454136770588,550.2806146818297,9.423657451484818,"{""mu_k"": 4.000576041708354, ""sigma_k"": 1.3724100807944812, ""w_k"": 0.029635982142107165, ""c_rep"": 1.0002526226725101, ""mu_g"": 0.5787361151817246, ""sigma_g"": 0.24493514062906696, ""dt"": 0.13652417918477294, ""point_n"": 200}"
3,167,1500,5,-0.2944756746292114,0.050972943836338255,0.09566676169633866,0.0027704225054509023,673.4335506350689,95.45893483072037,"{""mu_k"": 3.782604452722732, ""sigma_k"": 1.0511996160502486, ""w_k"": 0.0273363094793087, ""c_rep"": 0.8943493051196917, ""mu_g"": 0.5511352282140206, ""sigma_g"": 0.2434998417693151, ""dt"": 0.14121140230940316, ""point_n"": 200}"
4,187,1500,5,0.25794090032577516,0.008698446667329478,0.10580804646015167,0.0017082386863308695,456.8155915475336,7.785305520203958,"{""mu_k"": 3.9458262848283803, ""sigma_k"": 1.032244678499801, ""w_k"": 0.030867867491597915, ""c_rep"": 1.434136924857922, ""mu_g"": 0.5210077248935407, ""sigma_g"": 0.18347271106626933, ""dt"": 0.11494393379152844, ""point_n"": 200}"
5,199,1500,5,-0.48597291111946106,0.004532447874856275,0.1059012994170189,0.0016681252902513175,480.5058395529732,16.566461193651627,"{""mu_k"": 4.384277380542013, ""sigma_k"": 0.6750727947582577, ""w_k"": 0.03509247670888685, ""c_rep"": 0.9051296732868336, ""mu_g"": 0.49229039186385454, ""sigma_g"": 0.23706393806663023, ""dt"": 0.13846716188685892, ""point_n"": 150}"
6,179,1500,5,0.2198277860879898,0.014241804177171665,0.10391693711280822,0.0014764930296245606,555.5204939280536,12.142121963411137,"{""mu_k"": 4.601030498170578, ""sigma_k"": 0.9406841827912971, ""w_k"": 0.029449636295209948, ""c_rep"": 1.1642259015518275, ""mu_g"": 0.4298219051235449, ""sigma_g"": 0.15029483992455495, ""dt"": 0.09571746574836269, ""point_n"": 200}"
7,205,1500,5,-0.16309893727302552,0.003367968310483979,0.11169661581516266,0.001990846801626052,409.8970113538602,11.170788955225738,"{""mu_k"": 4.361079713115629, ""sigma_k"": 0.734421392343534, ""w_k"": 0.02218568750321325, ""c_rep"": 1.3968593629376564, ""mu_g"": 0.4707099805863556, ""sigma_g"": 0.20753321936600025, ""dt"": 0.09566506770027987, ""point_n"": 200}"
8,235,1500,5,-0.1824263187125325,0.11948690183837583,0.10041021406650544,0.010751110707409013,691.0425321819105,357.87513305262496,"{""mu_k"": 4.554627665274042, ""sigma_k"": 1.258387702846441, ""w_k"": 0.039694487039460616, ""c_rep"": 1.2117430731897425, ""mu_g"": 0.43794844827644447, ""sigma_g"": 0.23096141824663832, ""dt"": 0.14959944585937834, ""point_n"": 100}"
9,159,1500,5,0.15522878766059875,0.010518065753125899,0.10476462244987488,0.0020905128039110316,460.7605678454674,3.58889351583449,"{""mu_k"": 4.62608356181139, ""sigma_k"": 1.107057534837923, ""w_k"": 0.03716139245464628, ""c_rep"": 1.2393645654567247, ""mu_g"": 0.7855124382949522, ""sigma_g"": 0.2213144960609592, ""dt"": 0.08753565984355284, ""point_n"": 200}"
10,203,1500,5,-0.3243808448314667,0.01384505233818905,0.10215197503566742,0.00399654403749587,604.6238292974094,28.25745310059927,"{""mu_k"": 4.728139228389979, ""sigma_k"": 1.1680432034475468, ""w_k"": 0.037420884640380646, ""c_rep"": 1.1805264362177652, ""mu_g"": 0.5378020356200007, ""sigma_g"": 0.21028749966866964, ""dt"": 0.1426377848268215, ""point_n"": 100}"
