simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
food-hunt,4040,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.06594878308465675, ""food_radius"": 2.6327382306230773, ""food_spawn_min_dist"": 7.4348496655769925, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.20783165,0.20756647,16.3914247771012,0.0,12.287408351898193
food-hunt,4041,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.08048719632388088, ""food_radius"": 2.066641725540728, ""food_spawn_min_dist"": 6.0315566302777235, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.30031165,0.20387016,18.196144473882153,0.0,12.356018304824829
food-hunt,4042,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.06657115337647596, ""food_radius"": 2.025609839281205, ""food_spawn_min_dist"": 4.509696563478973, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.12084507,0.20391612,21.403319815631814,0.0,12.272876262664795
food-hunt,4043,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.06451955723046067, ""food_radius"": 2.947814795699537, ""food_spawn_min_dist"": 5.549073073393702, ""respawn_on_reach"": false}, ""point_n"": 80}",0.015148334,0.18480775,35.45155356214864,0.0,12.060858488082886
food-hunt,4044,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.14713288850001358, ""food_radius"": 2.9474428114738958, ""food_spawn_min_dist"": 5.773660918125483, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.13608503,0.19664949,24.868425696145856,0.0,12.729040622711182
food-hunt,4045,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.09471949826059836, ""food_radius"": 2.553223968988102, ""food_spawn_min_dist"": 4.321830578778954, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.1441846,0.19978617,28.145733627327388,0.0,12.28385305404663
food-hunt,4046,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.10870655640139705, ""food_radius"": 2.2602318430428383, ""food_spawn_min_dist"": 4.123700913887557, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.14583965,0.19764109,35.69032092751045,0.0,12.396422624588013
food-hunt,4047,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.14016002045481873, ""food_radius"": 2.712682927087814, ""food_spawn_min_dist"": 4.729062945896269, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.07036955,0.17730291,55.481769867983,0.0,13.252631425857544
food-hunt,4048,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.12805292375462143, ""food_radius"": 2.4335315234948576, ""food_spawn_min_dist"": 6.605746947046455, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.13057207,0.18629454,31.756958214941683,0.0,12.367100715637207
food-hunt,4049,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.10979601565665724, ""food_radius"": 2.1362939184997254, ""food_spawn_min_dist"": 5.9569680622342, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.25464657,0.20070614,16.954970003810985,0.0,12.646456241607666
food-hunt,4050,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.06973685289818672, ""food_radius"": 2.4874000364005484, ""food_spawn_min_dist"": 7.375311997054792, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.2640577,0.22364764,18.506201153409812,0.0,12.13447093963623
food-hunt,4051,1200,"{""mu_k"": 4.0, ""sigma_k"": 1.0, ""w_k"": 0.022, ""c_rep"": 1.0, ""mu_g"": 0.6, ""sigma_g"": 0.15, ""dt"": 0.1, ""food_params"": {""food_attraction_strength"": 0.07711823327179089, ""food_radius"": 2.0432418476156093, ""food_spawn_min_dist"": 6.671071495711727, ""respawn_on_reach"": false}, ""point_n"": 80}",-0.2705034,0.20508026,24.256764587098697,0.0,12.169841051101685
